BIO_ID,100000_mean,100000_max,1000_max,1000_mean,10000_max,10000_mean,5000_mean,5000_max,512_max,512_mean,25000_max,25000_mean,50000_mean,50000_max,100_mean,100_max
BIO1,0.71,0.714,0.704,0.687,0.749,0.694,0.671,0.686,0.68,0.667,0.644,0.702,0.715,0.662,0.689,0.74
BIO15,0.626,0.413,0.598,0.523,0.59,0.59,0.61,0.467,0.532,0.528,0.516,0.553,0.491,0.439,0.541,0.533
BIO18,0.68,0.673,0.675,0.647,0.692,0.655,0.662,0.644,0.707,0.696,0.664,0.73,0.784,0.656,0.598,0.746
BIO19,0.539,0.42,0.549,0.378,0.564,0.569,0.57,0.521,0.589,0.503,0.517,0.612,0.611,0.41,0.598,0.643
BIO2,0.682,0.667,0.707,0.645,0.619,0.707,0.689,0.631,0.716,0.666,0.584,0.645,0.654,0.648,0.644,0.692
BIO3,0.861,0.714,0.798,0.802,0.819,0.804,0.753,0.809,0.81,0.78,0.797,0.818,0.839,0.768,0.794,0.789
BIO8,0.456,0.29,0.456,0.481,0.408,0.408,0.409,0.448,0.47,0.435,0.45,0.454,0.46,0.428,0.398,0.406
BIO9,0.75,0.636,0.779,0.707,0.724,0.738,0.693,0.745,0.786,0.7,0.674,0.779,0.784,0.656,0.688,0.75
BIO_10_5,0.641,0.714,0.686,0.618,0.626,0.615,0.612,0.604,0.685,0.669,0.496,0.649,0.615,0.598,0.635,0.652
BIO_11_6,0.775,0.696,0.776,0.799,0.762,0.784,0.759,0.749,0.786,0.739,0.766,0.811,0.821,0.678,0.724,0.79
BIO_12_13_16,0.369,0.398,0.456,0.4,0.491,0.366,0.387,0.461,0.362,0.373,0.453,0.447,0.383,0.421,0.434,0.461
BIO_14_17,0.679,0.562,0.596,0.549,0.622,0.658,0.632,0.616,0.686,0.653,0.538,0.646,0.647,0.597,0.615,0.718
BIO_4_7,0.721,0.626,0.74,0.691,0.631,0.706,0.678,0.684,0.763,0.709,0.675,0.752,0.722,0.579,0.627,0.748
Soil_Nitrogen_SOC,0.342,0.403,0.45,0.356,0.374,0.347,0.279,0.388,0.493,0.347,0.299,0.359,0.331,0.391,0.407,0.442
bdod_mean,0.473,0.515,0.418,0.33,0.424,0.435,0.369,0.401,0.497,0.442,0.462,0.431,0.425,0.411,0.384,0.461
clay_mean,0.485,0.423,0.521,0.556,0.426,0.475,0.499,0.484,0.556,0.541,0.426,0.478,0.506,0.444,0.522,0.54
phh2o_mean,0.542,0.46,0.386,0.404,0.45,0.568,0.473,0.419,0.473,0.481,0.38,0.563,0.516,0.388,0.495,0.481
wv0033_mean,0.507,0.314,0.561,0.384,0.478,0.442,0.405,0.414,0.543,0.459,0.355,0.477,0.45,0.342,0.515,0.496
