BIO_ID,ElasticNet,SVR_Linear,SVR_RBF,Average
BIO3,0.807,0.771,0.772,0.783
BIO9,0.774,0.756,0.712,0.747
BIO_11_6,0.777,0.742,0.719,0.746
BIO_4_7,0.74,0.723,0.734,0.732
BIO2,0.705,0.65,0.678,0.678
BIO18,0.67,0.682,0.662,0.671
BIO_10_5,0.687,0.661,0.659,0.669
BIO1,0.705,0.672,0.618,0.665
BIO_14_17,0.598,0.578,0.513,0.563
wv0033_mean,0.57,0.565,0.532,0.556
BIO19,0.517,0.566,0.565,0.549
BIO15,0.596,0.527,0.465,0.529
clay_mean,0.509,0.506,0.486,0.5
BIO8,0.482,0.518,0.501,0.5
BIO_12_13_16,0.456,0.466,0.458,0.46
bdod_mean,0.475,0.462,0.422,0.453
Soil_Nitrogen_SOC,0.445,0.453,0.413,0.437
phh2o_mean,0.399,0.347,0.369,0.372
