BIO_ID,ElasticNet,ElasticNet500,SparSNP_Base,SparSNP_100,Average
BIO_11_6,0.73,0.807,0.83,0.529,0.724
BIO_4_7,0.757,0.758,0.78,0.566,0.715
BIO3,0.617,0.714,0.768,0.564,0.666
BIO1,0.516,0.695,0.739,0.482,0.608
BIO9,0.572,0.68,0.584,0.548,0.596
BIO18,0.422,0.552,0.44,0.4,0.453
BIO_10_5,0.376,0.518,0.436,0.457,0.447
BIO2,0.43,0.373,0.476,0.487,0.442
BIO15,0.391,0.34,0.315,0.3,0.336
BIO_14_17,0.314,0.444,0.25,0.318,0.331
clay_mean,0.307,0.398,0.31,0.305,0.33
Soil_Nitrogen_SOC,0.307,0.357,0.228,0.267,0.29
wv0033_mean,0.354,0.297,0.322,0.183,0.289
phh2o_mean,0.256,0.36,0.296,0.219,0.283
BIO8,0.189,0.292,0.348,0.255,0.271
bdod_mean,0.218,0.302,0.26,0.272,0.263
BIO19,0.168,0.13,0.051,0.072,0.105
BIO_12_13_16,0.037,0.065,0.055,0.036,0.048
