BIO_ID,ElasticNet,ElasticNet500,SparSNP_Base,SparSNP_100,Average
BIO3,0.81,0.871,0.887,0.791,0.84
BIO_11_6,0.786,0.848,0.832,0.773,0.81
BIO9,0.786,0.834,0.805,0.769,0.798
BIO_4_7,0.763,0.784,0.779,0.712,0.759
BIO1,0.68,0.811,0.839,0.697,0.757
BIO2,0.716,0.67,0.76,0.737,0.721
BIO18,0.707,0.783,0.701,0.652,0.711
BIO_10_5,0.685,0.736,0.704,0.714,0.71
BIO_14_17,0.686,0.741,0.659,0.651,0.684
clay_mean,0.556,0.643,0.575,0.5,0.569
wv0033_mean,0.543,0.609,0.615,0.392,0.54
BIO8,0.47,0.567,0.617,0.503,0.539
BIO15,0.532,0.627,0.503,0.444,0.526
phh2o_mean,0.473,0.582,0.527,0.516,0.524
bdod_mean,0.497,0.554,0.521,0.471,0.511
BIO19,0.589,0.628,0.344,0.432,0.498
Soil_Nitrogen_SOC,0.493,0.56,0.326,0.451,0.458
BIO_12_13_16,0.362,0.436,0.197,0.321,0.329
